date,value
1953-04-07,315.5000
1953-04-08,313.8700
1953-04-09,320.3000
1953-04-10,318.3300
1953-04-13,316.4500
1953-04-14,320.0400
1953-04-15,333.6500
1953-04-16,355.0300
1953-04-17,349.8500
1953-04-20,345.1200
1953-04-21,339.6600
1953-04-22,335.9700
1953-04-23,335.7200
1953-04-24,334.8900
1953-04-27,338.2500
1953-04-28,342.1900
1953-04-30,339.3700
1953-05-01,345.2900
1953-05-04,355.9400
1953-05-06,366.6900
1953-05-07,365.4900
1953-05-08,364.1300
1953-05-11,359.5600
1953-05-12,361.7000
1953-05-13,360.0800
1953-05-14,359.6200
1953-05-15,357.5100
1953-05-18,349.4300
1953-05-19,349.5300
1953-05-20,350.8800
1953-05-21,350.1500
1953-05-22,348.8000
1953-05-25,345.4600
1953-05-26,337.7000
1953-05-27,335.6300
1953-05-28,335.0500
1953-05-29,333.5900
1953-06-01,329.3400
1953-06-02,323.6400
1953-06-03,321.7900
1953-06-04,327.9900
1953-06-05,324.1500
1953-06-08,335.3400
1953-06-09,338.9200
1953-06-10,341.1000
1953-06-11,343.3600
1953-06-12,347.8600
1953-06-15,350.3500
1953-06-16,345.3600
1953-06-17,343.5900
1953-06-18,344.3000
1953-06-19,346.7900
1953-06-22,348.7800
1953-06-23,345.5900
1953-06-24,344.8000
1953-06-25,341.4800
1953-06-26,340.0500
1953-06-29,344.4100
1953-06-30,346.2700
1953-07-01,347.7600
1953-07-02,349.2000
1953-07-03,348.2000
1953-07-06,346.8700
1953-07-07,345.2100
1953-07-08,345.5700
1953-07-09,348.0800
1953-07-10,348.6400
1953-07-13,355.0200
1953-07-14,356.7500
1953-07-15,364.0700
1953-07-16,365.4600
1953-07-17,361.8300
1953-07-20,360.4100
1953-07-21,359.1400
1953-07-22,356.8700
1953-07-23,359.4500
1953-07-24,361.3900
1953-07-27,367.1000
1953-07-28,371.4600
1953-07-29,380.6000
1953-07-30,381.3200
1953-07-31,386.1300
1953-08-03,397.0800
1953-08-04,393.9700
1953-08-05,400.3100
1953-08-06,401.0700
1953-08-07,400.8800
1953-08-10,390.4400
1953-08-11,390.9600
1953-08-12,397.1900
1953-08-13,394.2300
1953-08-14,391.7100
1953-08-17,393.5800
1953-08-18,397.1300
1953-08-19,404.8100
1953-08-20,405.5700
1953-08-21,403.8900
1953-08-24,416.0500
1953-08-25,412.4000
1953-08-26,415.1500
1953-08-27,413.1400
1953-08-28,415.9000
1953-08-31,409.4700
1953-09-01,406.9400
1953-09-02,414.4200
1953-09-03,418.0500
1953-09-04,425.5800
1953-09-07,433.3800
1953-09-08,435.2300
1953-09-09,431.8100
1953-09-10,433.9200
1953-09-11,436.9900
1953-09-14,432.4100
1953-09-15,429.9800
1953-09-16,416.6500
1953-09-17,420.4800
1953-09-18,420.9900
1953-09-21,426.6800
1953-09-22,428.9700
1953-09-24,432.9200
1953-09-25,429.5000
1953-09-28,442.0200
1953-09-29,448.7700
1953-09-30,450.8700
1953-10-01,448.7500
1953-10-02,449.0100
1953-10-05,442.5400
1953-10-06,444.0900
1953-10-07,442.1600
1953-10-08,439.0300
1953-10-09,442.4900
1953-10-12,440.1900
1953-10-13,439.7900
1953-10-14,442.0500
1953-10-15,439.9500
1953-10-16,432.5400
1953-10-19,429.0400
1953-10-20,421.1200
1953-10-21,424.9300
1953-10-22,429.0200
1953-10-23,431.2000
1953-10-26,424.4900
1953-10-27,424.3300
1953-10-28,429.1300
1953-10-29,427.5400
1953-10-30,427.6800
1953-11-02,440.1900
1953-11-04,438.9800
1953-11-05,436.6100
1953-11-06,433.2600
1953-11-09,429.5700
1953-11-10,429.1700
1953-11-11,428.7400
1953-11-12,432.2500
1953-11-13,432.0500
1953-11-16,421.9800
1953-11-17,423.3600
1953-11-18,418.2600
1953-11-19,419.0700
